directory,file_name,variable_name,variable_type,description,unit
raw_data/pm,pm_cape-maclear_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_cape-maclear_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_1.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_1.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_initial_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_1.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_1.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_brc-incinerator_final_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_1.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_1.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_initial_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_1.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_1.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_intermediate_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_1.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_1.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_1.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_2.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_2.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_2.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_3.csv,PM_A(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_3.csv,PM_B(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/pm,pm_scm-incinerator_final_3.csv,PM_C(ug/m^3),float,concentration of particulate matter PM10 in the air,1e-9 kg/m3
raw_data/temp,temp_brc-hx_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-hx_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-hx_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-hx_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_brc-hx_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-hx_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-hx_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-hx_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_brc-hx_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-hx_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-hx_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-hx_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_brc-incinerator_initial_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_initial_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_intermediate_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_1.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_2.csv,T4,float,temperature measured by 4th thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T1,float,temperature measured by 1st thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T2,float,temperature measured by 2nd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T3,float,temperature measured by 3rd thermocouple,deg C
raw_data/temp,temp_scm-incinerator_final_3.csv,T4,float,temperature measured by 4th thermocouple,deg C
derived_data/pm,pm_cape-maclear.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_cape-maclear.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_cape-maclear.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_initial.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_initial.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_initial.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_final.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_final.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_brc_incinerator_final.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_initial.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_initial.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_initial.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_intermediate.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_intermediate.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_intermediate.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_final.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_final.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_scm_incinerator_final.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/pm,pm_open-waste-burning.csv,PM_A(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM10 in the air,1e-9 kg/m3
derived_data/pm,pm_open-waste-burning.csv,PM_B(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM2.5 in the air,1e-9 kg/m3
derived_data/pm,pm_open-waste-burning.csv,PM_C(ug/m^3),float,Cleaned and averaged concentration of particulate matter PM1.0 in the air,1e-9 kg/m3
derived_data/temp,temp_hx.csv,T,float,Averaged and cleaned temperature value,deg C
derived_data/temp,temp_brc_incinerator_initial.csv,T,float,Averaged and cleaned temperature value,deg C
derived_data/temp,temp_brc_incinerator_final.csv,T,float,Averaged and cleaned temperature value,deg C
derived_data/temp,temp_scm_incinerator_initial.csv,T,float,Averaged and cleaned temperature value,deg C
derived_data/temp,temp_scm_incinerator_intermediate.csv,T,float,Averaged and cleaned temperature value,deg C
derived_data/temp,temp_scm_incinerator_final.csv,T,float,Averaged and cleaned temperature value,deg C
